,Air_Temp_DEGC,Soil_Temp_DEGC,Soil_Classification,Crop,Fert_Ammend_Class,target
4589,0.0,17.05555556,8.0,1.0,3.0,5801.017
1771,10.63,0.0,1.0,1.0,3.0,1233.660788
5425,0.0,0.0,4.0,4.0,3.0,0.0
5090,15.0,0.2,5.0,0.0,3.0,2651.976593
7223,0.0,0.0,4.0,3.0,1.0,0.0
258,0.0,0.0,6.0,0.0,0.0,1178.078439
2557,0.0,0.0,2.0,0.0,3.0,19311.16947
421,0.0,0.0,6.0,0.0,3.0,2708.881409
5524,0.0,0.0,4.0,4.0,3.0,0.0
5544,0.0,0.0,4.0,0.0,3.0,0.0
3831,0.0,0.0,2.0,0.0,2.0,14366.61099
6327,0.0,0.0,4.0,4.0,3.0,0.0
4524,0.0,14.94444444,8.0,1.0,3.0,18763.4806
4239,0.0,20.72222222,8.0,1.0,3.0,10654.692
4743,0.0,20.94444444,8.0,1.0,3.0,7235.0675
1281,17.0625,9.0,7.0,3.0,1.0,7845.074228
3141,0.0,0.0,2.0,0.0,3.0,20813.70891
4993,12.6,3.0,5.0,0.0,3.0,9882.643945
915,0.0,0.0,6.0,0.0,1.0,418.7502562
4307,0.0,20.38888889,8.0,1.0,3.0,4194.648
158,0.0,0.0,6.0,0.0,2.0,1484.805442
3353,0.0,0.0,2.0,0.0,3.0,30112.85433
4156,0.0,0.0,2.0,0.0,3.0,18865.85548
5392,0.0,0.0,0.0,0.0,3.0,0.0
2280,3.0,0.0,1.0,1.0,1.0,1775.230854
6261,0.0,0.0,4.0,0.0,1.0,0.0
4115,23.76666667,21.425,2.0,0.0,3.0,21860.88396
6100,0.0,0.0,4.0,0.0,1.0,0.0
3392,0.0,0.0,2.0,0.0,3.0,15194.58894
6916,0.0,0.0,4.0,3.0,1.0,0.0
19,0.0,0.0,6.0,0.0,3.0,904.2210091
2682,0.0,0.0,2.0,0.0,3.0,26247.01899
5931,0.0,0.0,4.0,4.0,3.0,0.0
5027,16.0,4.0,5.0,0.0,3.0,1996.427607
4608,0.0,19.16666667,8.0,1.0,3.0,8750.6359
5989,0.0,0.0,4.0,4.0,3.0,0.0
5146,19.65,21.2,5.0,0.0,3.0,4084.484784
7019,0.0,0.0,4.0,3.0,1.0,0.0
6719,0.0,0.0,4.0,3.0,1.0,0.0
4601,0.0,15.83333333,8.0,2.0,3.0,7908.4581
64,0.0,0.0,6.0,0.0,1.0,920.9425818
5525,0.0,0.0,4.0,0.0,3.0,0.0
7826,0.0,0.0,4.0,3.0,1.0,0.0
6726,0.0,0.0,4.0,3.0,1.0,0.0
4675,0.0,17.38888889,8.0,1.0,3.0,6976.7462
1581,5.3,0.0,1.0,1.0,2.0,986.2854943
7803,0.0,0.0,4.0,3.0,1.0,0.0
4143,0.0,0.0,2.0,0.0,3.0,26750.4689
1595,10.1,0.0,1.0,1.0,2.0,2614.186854
1450,3.7125,-0.85,7.0,3.0,1.0,3483.4172380000005
308,0.0,0.0,6.0,0.0,3.0,339.0847949
1503,5.98,0.0,1.0,1.0,2.0,4373.266212
343,0.0,0.0,6.0,0.0,3.0,1849.680718
5008,6.0,2.0,5.0,0.0,3.0,21759.25322
7059,0.0,0.0,4.0,3.0,1.0,0.0
3124,0.0,0.0,2.0,0.0,3.0,25509.21565
3752,0.0,0.0,2.0,0.0,2.0,38788.81948
7264,0.0,0.0,4.0,3.0,1.0,0.0
1925,18.4,0.0,1.0,1.0,3.0,12725.19249
5521,0.0,0.0,4.0,4.0,3.0,0.0
779,0.0,0.0,6.0,0.0,0.0,1000.632521
6626,0.0,0.0,4.0,3.0,1.0,0.0
3917,24.76666667,23.2,2.0,0.0,3.0,34138.12646
4677,0.0,19.38888889,8.0,1.0,3.0,9947.6125
419,0.0,0.0,6.0,0.0,3.0,2390.758368
5,0.0,0.0,6.0,0.0,3.0,714.9147852000001
7083,0.0,0.0,4.0,3.0,1.0,0.0
5079,0.0,0.0,5.0,0.0,3.0,0.0
1940,12.59,0.0,1.0,1.0,2.0,10539.48209
2990,0.0,0.0,2.0,0.0,3.0,14932.540969999998
2519,10.1,0.0,1.0,1.0,1.0,0.0
4324,0.0,16.44444444,8.0,1.0,3.0,11335.026000000002
428,0.0,0.0,6.0,0.0,1.0,379.97544
1356,23.3375,21.3,7.0,3.0,1.0,3482.521668
2517,16.43,0.0,1.0,1.0,1.0,3994.192207
4555,0.0,12.27777778,8.0,2.0,3.0,14272.7845
2453,22.15,0.0,1.0,1.0,3.0,14815.488469999998
4219,24.8,22.725,2.0,0.0,3.0,28638.26364
3465,0.0,0.0,2.0,0.0,1.0,28560.39704
7721,0.0,0.0,4.0,3.0,1.0,0.0
6086,0.0,0.0,0.0,0.0,1.0,0.0
7593,0.0,0.0,4.0,3.0,1.0,0.0
5404,0.0,0.0,4.0,4.0,3.0,0.0
7044,0.0,0.0,4.0,3.0,1.0,0.0
5403,0.0,0.0,4.0,4.0,3.0,0.0
3989,0.0,0.0,2.0,0.0,3.0,25241.94844
458,0.0,0.0,6.0,0.0,1.0,1616.15069
962,0.0,0.0,6.0,0.0,1.0,648.3868528
6652,0.0,0.0,4.0,3.0,1.0,0.0
1941,13.35,0.0,1.0,1.0,2.0,12674.54775
7827,0.0,0.0,4.0,3.0,1.0,0.0
2613,0.0,0.0,2.0,0.0,3.0,35216.25346
1719,2.9,0.0,1.0,1.0,2.0,2010.112414
3805,28.2,24.675,2.0,0.0,2.0,26998.48811
669,0.0,0.0,6.0,0.0,1.0,563.3982959
1489,12.15,0.0,1.0,1.0,1.0,7364.709991
539,0.0,0.0,6.0,0.0,3.0,816.6146492
5871,0.0,0.0,4.0,0.0,1.0,0.0
6503,0.0,0.0,4.0,4.0,3.0,0.0
6177,0.0,0.0,4.0,4.0,3.0,0.0
2268,18.42,0.0,1.0,1.0,3.0,4010.908985
5560,0.0,0.0,4.0,0.0,3.0,0.0
4692,0.0,18.72222222,8.0,1.0,3.0,3271.4589
6394,0.0,0.0,4.0,0.0,1.0,0.0
352,0.0,0.0,6.0,0.0,3.0,1076.270367
3727,0.0,0.0,2.0,0.0,2.0,28668.95515
6822,0.0,0.0,4.0,3.0,1.0,0.0
6806,0.0,0.0,4.0,3.0,1.0,0.0
5902,0.0,0.0,4.0,4.0,3.0,0.0
7720,0.0,0.0,4.0,3.0,1.0,0.0
